연번,호선,역명,장비,호기,승강기번호,운행구간,설치위치,설치일자,적재하중(㎏),정원(인),정격속도(m/min)
1,1,서울(1),E/L,내부#1,0074-205,B2(승)~B1(대),섬식(상)5-1,2014-12-02,750,11,60
2,1,서울(1),E/L,외부#1,0104-656,B1(대)~지상,2번출구측,2013-08-02,900,13,45
3,1,서울(1),E/L,외부#2,0105-867,B1(대)~지상,4번출구측,2000-05-01,1000,15,45
4,1,서울(1),E/L,외부#3,0073-979,B1(대)~지상,3번출구측,2014-11-01,1000,15,60
5,1,시청(1),E/L,내부#1,0002-888,B2(승)~B1(대),상행3-2,2004-03-13,1000,15,45
6,1,시청(1),E/L,내부#2,0002-887,B2(승)~B1(대),하행8-3,2004-03-13,1000,15,45
7,1,시청(1),E/L,외부#1,0002-889,B1(대)~지상,1-2번출구사이,2005-04-01,1000,15,45
8,1,종각,E/L,내부#1,0000-506,B2(승)~B1(대),상행6-4,2005-01-25,1000,15,45
9,1,종각,E/L,내부#2,0000-507,B2(승)~B1(대),하행4-4,2004-04-17,1000,15,45
10,1,종각,E/L,외부#1,0000-508,B1(대)~지상,3번출구측,2004-11-05,1000,15,45
11,1,종각,E/L,외부#2,0113-945,B1(대)~지상,1번출구측,2016-03-18,1000,15,60
12,1,종로3가(1),E/L,내부#1,0000-512,B2(승)~B1(대),상행4-4,2003-12-23,1000,15,60
13,1,종로3가(1),E/L,내부#2,0000-513,B2(승)~B1(대),하행6-4,2003-12-23,1000,15,60
14,1,종로3가(1),E/L,외부#1,0073-426,B1(대)~지상,12-13번출구측,2014-07-29,1000,15,60
15,1,종로5가,E/L,내부#1,0000-533,B2(승)~B1(대),상행8-3,2004-05-20,1000,15,45
16,1,종로5가,E/L,내부#2,0000-534,B2(승)~B1(대),하행3-2,2004-05-20,1000,15,45
17,1,종로5가,E/L,외부#1,0000-535,B1(대)~지상,8-9번출구측,2005-02-28,1000,15,45
18,1,동대문(1),E/L,내부#1,0000-906,B2(승)~B1(대),상행10-4,2003-12-24,750,11,60
19,1,동대문(1),E/L,내부#2,0000-907,B2(승)~B1(대),하행2-1,2003-12-24,750,11,60
20,1,동대문(1),E/L,외부#1,0000-905,B1(대)~지상,6번출구측,2004-08-14,1000,15,45
21,1,동묘앞,E/L,내부#1,0000-946,B1(승)~4F(건),본관건물(상)6-2,2005-12-31,1000,15,60
22,1,동묘앞,E/L,내부#2,0000-943,B2(연)~BM2~B1(승),상행10-3,2005-12-31,1000,15,60
23,1,동묘앞,E/L,내부#3,0000-947,B2(환)~B1(승),상행4-8,2005-12-31,1000,15,60
24,1,동묘앞,E/L,내부#4,0000-948,B2(연)~B1(승),하행7-3,2005-12-31,1000,15,60
25,1,동묘앞,E/L,내부#5,0000-944,B2(환)~B1(승),하행1-2,2005-12-31,1000,15,60
26,1,동묘앞,E/L,외부#1,0000-945,B1(승)~BM1~지상,1-10번출구사이,2005-12-31,1000,15,60
27,1,동묘앞,E/L,외부#2,0000-960,B1(승)~지상,3번출구측,2005-12-31,1000,15,60
28,1,신설동(1),E/L,내부#1,0003-532,B2(승)~B1(대),상행3-4,2012-11-30,1000,15,45
29,1,신설동(1),E/L,내부#2,0083-761,B2(승)~B1(대),하행8-1,2012-11-30,1000,15,45
30,1,신설동(1),E/L,외부#1,0083-763,B1(대)~지상,1번출구측,2004-05-27,1000,15,45
31,1,신설동(1),E/L,외부#2,0083-762,B1(대)~지상,2번출구/3번출구사이,2012-11-30,1000,15,45
32,1,신설동(1),E/L,외부#3,0083-764,B1(대)~지상,4번출구/5번출구사이,2012-11-30,1000,15,45
33,1,제기동,E/L,내부#1,0043-600,B2(승)~B1(대),상행9-4,2004-04-17,750,11,45
34,1,제기동,E/L,내부#2,0027-701,B2(승)~B1(대),하행2-1,2004-11-12,750,11,45
35,1,제기동,E/L,외부#1,0093-165,B1(대)~지상,1번출구측,2004-11-15,1000,15,45
36,1,청량리(1),E/L,외부#1,1042-264,B2(대)~지상,6번출구측,2005-03-06,1000,15,45
37,2,시청(2),E/L,내부#1,0042-520,B3(승)~B2대)~B1(대),섬식(외)6-2,2002-12-27,900,13,60
38,2,시청(2),E/L,외부#1,0002-886,B1(대)~지상,9번출구측,2004-02-27,1000,15,60
39,2,을지로입구,E/L,내부#1,0003-059,B2(승)~B1(대),외선5-3,2005-03-30,1000,15,45
40,2,을지로입구,E/L,내부#2,0003-058,B2(승)~B1(대),내선6-2,2005-03-30,1000,15,45
41,2,을지로입구,E/L,외부#1,0124-101,B1(대)~지상,1번출구측,2017-06-30,1000,15,60
42,2,을지로입구,E/L,외부#2,0104-712,B1(대)~지상,5번출구측,2013-12-05,1000,15,60
43,2,을지로3가(2),E/L,내부#1,0042-132,B2(승)~B1(대),외선8-3,2004-12-03,1000,15,45
44,2,을지로3가(2),E/L,내부#2,0042-133,B2(승)~B1(대),내선3-2,2004-12-03,1000,15,45
45,2,을지로4가,E/L,내부#1,0042-130,B2(승)~B1(대),외선3-2,2005-12-15,1000,15,60
46,2,을지로4가,E/L,내부#2,0042-131,B2(승)~B1(대),내선8-3,2003-12-31,1000,15,60
47,2,을지로4가,E/L,외부#1,0102-390,B1(대)~지상,8번출구,2003-12-31,1000,15,45
48,2,동대문역사문화공원(2),E/L,내부#1,0003-055,B2(승)~B1(대),외선8-3,2003-07-16,1000,15,45
49,2,동대문역사문화공원(2),E/L,내부#2,0003-056,B2(승)~B1(대),내선3-2,2004-04-26,1000,15,45
50,2,동대문역사문화공원(2),E/L,외부#1,0070-607,B1(대)~지상,1번출구측,2012-11-02,1000,17,60
51,2,신당,E/L,외부#1,0004-367,B1(대)~지상,2번출구측,2010-04-09,1000,15,45
52,2,신당,E/L,내부#1,0103-796,B2(승)~B1(대),외선3-4,2004-05-12,1000,15,45
53,2,신당,E/L,내부#2,0103-797,B2(승)~B1(대),내선7-4,2004-05-12,900,13,45
54,2,상왕십리,E/L,내부#1,0042-156,B2(승)~B1(대),외선8-1,2004-08-03,1000,15,45
55,2,상왕십리,E/L,내부#2,0042-157,B2(승)~B1(대),내선3-4,2004-08-03,1000,15,45
56,2,상왕십리,E/L,외부#1,0117-183,B1(대)~지상,2-3출구사이,2016-12-01,1000,24,60
57,2,왕십리,E/L,내부#1,0003-466,B3(승)~B2(대),외선3-2,2010-03-09,1000,15,45
58,2,왕십리,E/L,내부#2,0068-689,B3(승)~B2(대),내선3-4,2012-09-04,1000,15,60
59,2,한양대,E/L,내부#1,0042-129,F1(승)~F2(대),섬식(외)3-3,2004-12-24,600,9,45
60,2,한양대,E/L,외부#1,0042-128,지상~F2(대),4번출구(육교),2005-07-15,1000,15,45
61,2,뚝섬,E/L,내부#1,0003-051,F2(대)~F3(승),외선7-1,2005-04-01,1000,15,45
62,2,뚝섬,E/L,내부#2,0003-050,F2(대)~F3(승),내선7-1,2005-04-01,1000,15,45
63,2,뚝섬,E/L,외부#1,0003-049,지상~F2(대),3번출구측,2005-04-26,1000,15,45
64,2,뚝섬,E/L,외부#2,0131-787,지상~F2(대),6번출구,2018-12-31,1000,15,45
65,2,성수,E/L,내부#1,0074-865,F2(대)~F3(승),외선7-1,2015-07-09,600,9,60
66,2,성수,E/L,내부#2,0074-866,F2(대)~F3(승),내선4-4,2015-07-09,600,9,60
67,2,성수,E/L,외부#1,0039-325,지상~F1(대),1번출구측,2002-09-10,1000,15,45
68,2,성수,E/L,외부#2,0039-327,지상~F1(대),4번출구측,2002-09-10,1000,15,45
69,2,신답,E/L,내부#1,0039-326,F1(승)~F2(대),외선2-4,2005-04-14,750,11,45
70,2,신답,E/L,내부#2,0104-461,F1(승)~F2(대),내선3-2,2013-08-26,1000,15,60
71,2(기타),신답별관,E/L,1호기,0014-917,1F~10F,신답별관,2003-03-07,1600,24,60
72,2(기타),신답별관,E/L,2호기,0014-918,1F~10F,신답별관,2003-03-07,1000,15,60
73,2(기타),신답별관,C/L,3호기,0014-919,1F~3F,주차장,2003-05-21,2500,3,20
74,2(기타),신답별관,C/L,4호기,0014-920,1F~3F,주차장,2003-05-21,2500,3,20
75,2,용두,E/L,내부#1,0054-021,B2(승)~B1(대),외선1-1,2005-12-30,1000,15,60
76,2,용두,E/L,내부#2,0054-022,B2(승)~B1(대),내선4-3,2005-12-30,1000,15,60
77,2,용두,E/L,외부#1,0054-023,B1(대)~지상,3번출구측,2005-12-30,1000,15,60
78,2,용두,E/L,외부#2,0054-024,B1(대)~지상,4번출구측,2005-12-30,1000,15,60
79,2(기타),인재개발원,E/L,1호기,0069-781,B1~7,교육동,2006-06-29,1600,8,60
80,2(기타),인재개발원,E/L,2호기,0069-782,B1~7,교육동,2006-06-29,1600,8,60
81,2(기타),인재개발원,E/L,3호기,0069-783,B1~7,교육동,2006-06-29,1600,8,60
82,2(기타),인재개발원,E/L,4호기,0069-784,B1~5,복지동,2006-06-29,1600,6,60
83,2(기타),인재개발원,E/L,5호기,0069-785,B1~5,복지동,2006-06-29,1600,6,60
84,2(기타),인재개발원,D/W,1호기,1901-974,1~2,복지동(식당내),2006-06-29,300,2,30
85,2,신설동(2),E/L,내부#1,0027-703,B2(승)~B1(대),섬식(외)4-3,2018-12-26,1000,15,45
86,2,신설동(2),E/L,외부#1,0044-516,B1(대)~지상,9번출구측,2012-07-24,1000,15,45
87,2,건대입구,E/L,내부#1,0108-564,2(대)~3(승),섬식(외)5-4,2014-11-21,1000,15,60
88,2,건대입구,E/L,외부#1,0095-448,지상~F2(대)~F3(승),7-3~6번출구측,2012-01-19,1350,20,45
89,2,구의,E/L,내부#1,0028-196,F2(대)~F3(승),섬식(외)4-3,2005-09-16,900,13,45
90,2,구의,E/L,외부#1,0028-197,지상~F2(대)~F3(승),7-2~2번출구측,2005-09-16,1000,15,60
91,2,강변,E/L,내부#1,0093-166,F1(대)~F2(승),외선4-2,2005-04-08,1000,15,45
92,2,강변,E/L,내부#2,0093-167,F1(대)~F2(승),내선7-3,2005-04-08,1000,15,45
93,2,잠실나루,E/L,내부#1,0012-789,F1(대)~F2(승),외선3-4,2004-05-19,750,11,45
94,2,잠실나루,E/L,내부#2,0012-790,F1(대)~F2(승),내선8-1,2004-05-19,750,11,45
95,2,잠실,E/L,내부#1,0007-841,B2(승)~B1(대),외선5-2,2004-08-31,1000,15,45
96,2,잠실,E/L,내부#2,0007-842,B2(승)~B1(대),내선6-3,2004-04-19,1000,15,45
97,2,잠실,E/L,외부#1,0065-637,B1(상가)~지상,6번출구측,2004-04-19,1000,15,45
98,2,잠실,E/L,외부#2,0089-517,B1(대)~지상,1번출구/2번출구측,2014-06-13,1000,15,
99,2,잠실새내,E/L,내부#1,0008-945,B2(승)~B1(대),외선7-3,2004-12-29,1000,15,45
100,2,잠실새내,E/L,내부#2,0008-946,B2(승)~B1(대),내선4-1,2004-05-24,1000,15,45
101,2,잠실새내,E/L,외부#1,0075-476,B1(대)~지상,7번출구측,2004-05-24,1000,15,45
102,2,잠실새내,E/L,외부#2,0008-670,B1(대)~지상,2번출구측,2011-02-08,1000,15,60
103,2,종합운동장,E/L,내부#1,0008-146,B2(승)~B1(대),외선2-4,2018-12-26,1000,15,45
104,2,종합운동장,E/L,내부#2,0008-147,B2(승)~B1(대),내선8-4,2004-06-17,1000,15,45
105,2,종합운동장,E/L,외부#1,0008-148,B1(대)~지상,6번출구측,2018-12-26,1000,15,45
106,2,삼성,E/L,내부#1,0007-844,B2(승)~B1(대),섬식(외)3-1,2004-04-20,600,9,45
107,2,삼성,E/L,외부#1,0007-843,B1(대)~지상,1번출구측,2005-02-15,1000,15,45
108,2,삼성,E/L,외부#2,0014-060,B1(대)~지상,6번출구측,2016-07-20,1000,15,60
109,2,삼성,E/L,외부#3,0075-477,B1(대)~지상,8번출구측,2004-11-15,1000,11,45
110,2,삼성,E/L,외부#4,0105-289,B1(대)~지상,4번출구측,2014-12-05,1000,15,60
111,2,선릉,E/L,외부#1,0066-856,B1(대)~지상,1번출구측,2003-10-01,1000,15,45
112,2,선릉,E/L,외부#2,0105-099,B1(대)~지상,5번출구측,2003-10-01,1000,15,45
113,2,선릉,E/L,외부#3,0072-904,B1(대)~지상,10번출구측,2014-03-03,1000,15,60
114,2,역삼,E/L,내부#1,0075-561,B2(승)~B1(대),외선7-3,2004-04-14,1000,15,45
115,2,역삼,E/L,내부#2,0075-562,B2(승)~B1(대),내선4-1,2004-04-14,1000,15,45
116,2,역삼,E/L,외부#1,0065-638,B1(대)~지상,3번출구측,2004-12-23,1000,11,45
117,2,역삼,E/L,외부#2,0075-563,B1(대)~지상,4번출구측,2005-11-17,750,11,45
118,2,강남,E/L,내부#1,0087-544,B2(승)~B1(대),외선8-1,2005-01-25,1000,15,45
119,2,강남,E/L,내부#2,0087-545,B2(승)~B1(대),내선3-4,2005-01-25,1000,15,45
120,2,강남,E/L,외부#1,0087-546,B1(상가)~지상,1번출구측,2005-05-19,1000,15,45
121,2,강남,E/L,외부#2,0087-547,B1(상가)~지상,10번출구측,2005-05-19,1000,15,45
122,2,교대(2),E/L,내부#1,0008-151,B2(승)~B1(대),외선8-4,2003-06-30,1000,15,60
123,2,교대(2),E/L,내부#2,0008-152,B2(승)~B1(대),내선3-1,2003-06-30,1000,15,60
124,2,교대(2),E/L,외부#1,0046-583,B1(대)~지상,5번출구측,2003-06-30,1000,15,60
125,2,서초,E/L,내부#1,0008-943,B2(승)~B1(대),외선2-4,2004-05-13,900,13,45
126,2,서초,E/L,내부#2,0008-944,B2(승)~B1(대),내선9-1,2004-05-13,900,13,45
127,2,서초,E/L,외부#1,0075-478,B1(대)~지상,1번출구측,2005-01-11,1000,15,45
128,2,서초,E/L,외부#2,0072-667,B1(대)~지상,4번출구,2014-04-28,1000,15,60
129,2,방배,E/L,내부#1,0008-947,B2(승)~B1(대),외선8-3,2004-10-27,750,11,45
130,2,방배,E/L,내부#2,0008-948,B2(승)~B1(대),내선3-1,2004-10-27,750,11,45
131,2,방배,E/L,외부#1,0046-582,B1(대)~지상,3번출구측,2004-12-20,1000,15,45
132,2,사당(2),E/L,내부#1,0091-437,B2(승)~B1(대),섬식(외)4-4,2003-05-12,1000,15,60
133,2,사당(2),E/L,외부#1,0091-438,B1(대)~지상,14번출구측,2003-12-30,1000,15,60
134,2,사당(2),E/L,외부#2,0098-381,B1(대)~지상,6번출구측,2014-02-10,1000,15,60
135,2,낙성대,E/L,내부#1,0020-064,B2(승)~B1(대),외선8-2,2004-05-10,1000,15,45
136,2,낙성대,E/L,내부#2,0020-065,B2(승)~B1(대),내선3-3,2004-05-10,1000,15,45
137,2,낙성대,E/L,외부#1,0020-066,B1(대)~지상,6번출구측,2005-04-15,1000,15,45
138,2,서울대입구,E/L,내부#1,0020-839,B2(승)~B1(대),섬식(외)6-3,2004-04-08,750,11,45
139,2,서울대입구,E/L,외부#1,0020-840,B1(대)~지상,6번출구측,2005-01-06,750,9,45
140,2,서울대입구,E/L,외부#2,0114-806,B1(대)~지상,2번출구측,2015-12-15,1000,15,
141,2,봉천,E/L,내부#1,0060-936,B2(승)~B1(대),섬식(외)6-3,2004-10-18,750,11,45
142,2,봉천,E/L,외부#1,0060-937,B1(대)~지상,4번출구측,2005-04-27,1000,15,45
143,2,신림,E/L,내부#1,0019-759,B2(승)~B1(대),섬식(외)4-4,2004-05-28,1000,15,45
144,2,신림,E/L,외부#1,0019-760,B1(대)~지상,1번출구측,2009-09-01,1000,15,60
145,2,신림,E/L,외부#2,0092-886,B1(대)~지상,5번출구측,2013-03-20,1000,15,45
146,2,신대방,E/L,내부#1,0020-955,F2(대)~F3(승),외선3-4,2004-07-16,750,11,45
147,2,신대방,E/L,내부#2,0020-956,F2(대)~F3(승),내선8-1,2004-07-16,750,11,45
148,2,신대방,E/L,외부#1,0020-957,지상~F2(대),1번출구측,2005-01-07,1000,15,45
149,2,구로디지털단지,E/L,내부#1,0019-757,지상~F2(대),외선3-4,2004-07-30,1000,11,45
150,2,구로디지털단지,E/L,내부#2,0019-758,F2(대)~F3(승),내선7-4,2004-07-30,750,11,45
151,2,구로디지털단지,E/L,외부#1,0019-756,F2(대)~F3(승),6번출구,2004-07-30,750,15,45
152,2,대림,E/L,외부#1,0060-928,지상~F2(대),7번출구측(육교),2014-05-26,1000,15,60
153,2,대림,E/L,외부#2,0060-927,지상~F2(대),4번출구측(육교),2009-11-26,1000,15,45
154,2,대림,E/L,내부1,0107-009,F2(대)~F3(승),외선3-2,2009-11-26,1000,15,45
155,2,대림,E/L,내부2,0060-929,F2(대)~F3(승),내선8-3,2009-11-26,1000,15,45
156,2(기타),대림별관,E/L,1,0092-247,1F~7F,대림별관입구측,2003-11-21,1000,15,60
157,2(기타),대림별관,E/L,2,0092-248,B2~7F,대림별관출구측,2003-11-21,1000,15,60
158,2(기타),대림별관,E/L,3,0092-249,1F~7F,대림별관출구측,2003-11-22,450,6,60
159,2,신도림,E/L,내부#1,0085-969,B2(승)~B1(대),섬식3-2,2013-02-01,1000,15,45
160,2,신도림,E/L,내부#2,0098-197,B2(승)~B1(대),섬식4-4,2014-06-30,1000,15,60
161,2,신도림,E/L,외부#1,0109-522,B1(대)~F1~F2,1번출입구,2015-06-13,1150,17,60
162,2,신도림,E/L,외부#2,0098-196,B1(대)~지상,2번출구측,2013-02-01,1000,15,45
163,2,도림천,E/L,내부#1,0022-597,B3(승)~B2(대),섬식(지)4-4,2004-07-30,750,11,45
164,2,도림천,E/L,외부#1,0022-596,B3(승)~B2(대)~B1(대),1~2번출구사이,2004-05-10,750,11,45
165,2,양천구청,E/L,내부#1,0020-959,B2(승)~B1(대),외선4-1,2004-11-17,750,11,45
166,2,양천구청,E/L,내부#2,0020-960,B2(승)~B1(대),내선3-3,2004-11-17,750,11,45
167,2,양천구청,E/L,외부#1,0020-958,B1(대)~지상,1번출구측,2004-10-20,1000,15,45
168,2(기타),신정차량기지,E/L,1,0029-268,F1~5,관리동,2008-01-31,900,13,60
169,2(기타),신정차량기지,E/L,2,0029-269,F1~5,관리동,2008-02-29,900,13,60
170,2(기타),신정차량기지,E/L,3,0062-174,F1~5,토목동,1997-07-04,750,11,60
171,2(기타),신정차량기지,E/L,4,0062-078,F1~3,정비동,2011-08-29,4000,-,20
172,2(기타),신정차량기지,E/L,5,0062-173,F1~3,정비동,2016-06-29,4000,-,20
173,2(기타),신정차량기지,E/L,6,1902-759,F1~5,관리동,1992-09-20,500,-,30
174,2,신정네거리,E/L,내부#1,0060-930,B3(승)~B2(대),외선4-1,2004-09-10,1000,15,45
175,2,신정네거리,E/L,내부#2,0060-931,B3(승)~B2(대),내선3-4,2004-09-10,1000,15,45
176,2,신정네거리,E/L,외부#1,0060-932,B2(대)~지상,2번~3번출구측,2004-12-22,750,11,45
177,2,문래,E/L,내부#1,0021-258,B2(승)~B1(대),외선7-4,2004-04-08,1000,15,45
178,2,문래,E/L,내부#2,0021-259,B2(승)~B1(대),내선4-1,2004-04-08,1000,15,45
179,2,문래,E/L,외부#1,0107-085,B1(대)~지상,5번출구,2014-07-09,1000,15,60
180,2,문래,E/L,외부#2,0133-667,B1(대)~지상,1번출구,2019-01-11,1000,15,75
181,2,영등포구청,E/L,내부#1,0021-255,B2(승)~B1(대),외선8-4,2003-06-30,1000,15,45
182,2,영등포구청,E/L,내부#2,0021-256,B2(승)~B1(대),내선3-1,2003-06-30,1000,15,60
183,2,영등포구청,E/L,외부#1,0021-254,B1(대)~지상,2번출구측,2003-05-12,1000,15,60
184,2,당산,E/L,내부#1,0020-068,F2(대)~F3(승),외선8-3,2004-12-21,750,11,45
185,2,당산,E/L,내부#2,0020-069,F2(대)~F3(승),내선3-2,2004-12-21,750,11,45
186,2,당산,E/L,외부#1,0020-067,지상~F2(대),4번출구측,2004-07-30,750,11,45
187,2,합정,E/L,내부#1,0073-427,B2(승)~B1(대),외선4-1,2014-07-24,1000,15,60
188,2,합정,E/L,내부#2,0042-092,B2(승)~B1(대),내선7-3,2015-08-11,1000,15,60
189,2,합정,E/L,외부#1,0103-758,B1(대)~지상,1번출구측,2004-05-13,1000,15,45
190,2,합정,E/L,외부#2,0073-978,B1(대)~지상,4번출구측,2014-11-01,1000,15,60
191,2,홍대입구,E/L,내부#1,0102-349,B2(승)~B1(대),섬식(외)7-2,2005-02-03,1000,15,45
192,2,홍대입구,E/L,외부#1,0102-350,B1(대)~지상,8번출구측,2005-03-16,1000,15,45
193,2,신촌,E/L,내부#1,0102-373,B2(승)~B1(대),외선8-4,2005-03-23,1000,15,45
194,2,신촌,E/L,내부#2,0102-374,B2(승)~B1(대),내선4-4,2005-03-23,1000,15,45
